Variable,Correlación con Utilidad,|r|
Total Pizzas,0.4058407500601983,0.4058407500601983
Pizzas Carnes,0.36204617793773625,0.36204617793773625
Total Llamadas Atendidas,0.32645232519584605,0.32645232519584605
Total Pedidos,0.32645232519584605,0.32645232519584605
Pizzas Pepperoni,0.2776340561282719,0.2776340561282719
Pizzas Queso,0.25492724823572305,0.25492724823572305
Total Queso Usado,0.10975316486969766,0.10975316486969766
Proporcion Premium,0.05362791948121979,0.05362791948121979
Total Pepperoni Usado,-0.035945007743133285,0.035945007743133285
Total Salsa Usada,0.024249249046196474,0.024249249046196474
Total Mix Carnes Usado,-0.0105535865418284,0.0105535865418284
