,Total Pizzas,Total Llamadas Atendidas,Total Pedidos,Proporcion Premium,Total Salsa Usada,Total Queso Usado,Total Pepperoni Usado,Total Mix Carnes Usado,Pizzas Queso,Pizzas Pepperoni,Pizzas Carnes
Total Pizzas,1.0,0.8879353932244707,0.8879353932244707,0.05745636554637802,0.2177802365928974,0.2241525123079494,-0.11064330644127982,-0.008157887080056983,0.5819060412744059,0.8157542266085112,0.7728786914127719
Total Llamadas Atendidas,0.8879353932244707,1.0,1.0,-0.060034356181687135,0.2377465664438306,0.22355208875192276,-0.13144133613406545,0.023620067059821916,0.4943957465149306,0.7378776333182159,0.6825195758444773
Total Pedidos,0.8879353932244707,1.0,1.0,-0.060034356181687135,0.2377465664438306,0.22355208875192276,-0.13144133613406545,0.023620067059821916,0.4943957465149306,0.7378776333182159,0.6825195758444773
Proporcion Premium,0.05745636554637802,-0.060034356181687135,-0.060034356181687135,1.0,-0.03284187364317818,0.02280055511072252,-0.09365742573440947,0.036577574970661775,0.22761283071854244,0.15542291688775264,-0.1666159031202763
Total Salsa Usada,0.2177802365928974,0.2377465664438306,0.2377465664438306,-0.03284187364317818,1.0,0.08782963721008503,-0.00020230205665506835,0.10638877481438488,0.06390661793187774,0.18817694075896588,0.18748339235420194
Total Queso Usado,0.2241525123079494,0.22355208875192276,0.22355208875192276,0.02280055511072252,0.08782963721008503,1.0,-0.1063696216974505,-0.058622245929954346,0.1808295360383665,0.0419942872155457,0.3003366575845565
Total Pepperoni Usado,-0.11064330644127982,-0.13144133613406545,-0.13144133613406545,-0.09365742573440947,-0.00020230205665506835,-0.1063696216974505,1.0,0.08386012384245033,-0.026425607079902727,-0.05405164056508879,-0.14288832892781628
Total Mix Carnes Usado,-0.008157887080056983,0.023620067059821916,0.023620067059821916,0.036577574970661775,0.10638877481438488,-0.058622245929954346,0.08386012384245033,1.0,0.0639651047165961,0.010290597186259067,-0.057881437098668914
Pizzas Queso,0.5819060412744059,0.4943957465149306,0.4943957465149306,0.22761283071854244,0.06390661793187774,0.1808295360383665,-0.026425607079902727,0.0639651047165961,1.0,0.3402876646704971,0.27338831295121935
Pizzas Pepperoni,0.8157542266085112,0.7378776333182159,0.7378776333182159,0.15542291688775264,0.18817694075896588,0.0419942872155457,-0.05405164056508879,0.010290597186259067,0.3402876646704971,1.0,0.33576883492651705
Pizzas Carnes,0.7728786914127719,0.6825195758444773,0.6825195758444773,-0.1666159031202763,0.18748339235420194,0.3003366575845565,-0.14288832892781628,-0.057881437098668914,0.27338831295121935,0.33576883492651705,1.0
