N,Metodo,n_eff,Media,s2,Var_est,Base_s2_mismo_neff,Base_Var_mismo_neff,Red_vs_ref,Red_vs_base,Referencia
50,Base,50,2518254.0,840851922942.8572,16817038458.857143,840851922942.8572,16817038458.857143,0.0,0.0,—
50,VC,40,2410669.706976761,862332139746.102,21558303493.65255,859528357410.2565,21488208935.256413,-0.3262000970268433,-0.3262000970268433,Base (mismo n_eff)
50,Antitéticas,25,2380236.0,296103763233.3333,11844150529.333332,883044589600.0,35321783584.0,66.46785828024133,66.46785828024133,Base (mismo n_eff)
50,Antitéticas + VC,20,2321320.03557536,360742882544.8091,18037144127.240456,815831118184.2106,40791555909.210526,-5.980551219475225,55.7821619567893,"Ref: Anti(mismo n_eff), Base(mismo n_eff)"
100,Base,100,2586312.0,869283799248.4849,8692837992.484848,869283799248.4849,8692837992.484848,0.0,0.0,—
100,VC,80,2578596.1920635216,894450447969.5479,11180630599.619349,893132647846.519,11164158098.081488,-0.1475480855174525,-0.1475480855174525,Base (mismo n_eff)
100,Antitéticas,50,2372164.0,340174865820.40814,6803497316.408163,840851922942.8572,16817038458.857143,59.544022373184745,59.544022373184745,Base (mismo n_eff)
100,Antitéticas + VC,40,2297845.0867698654,390925718652.28424,9773142966.307106,986956940487.1794,24673923512.179485,-1.3530927533020825,60.39080302132367,"Ref: Anti(mismo n_eff), Base(mismo n_eff)"
200,Base,200,2577578.5,735908937776.6332,3679544688.883166,735908937776.6332,3679544688.883166,0.0,0.0,—
200,VC,160,2588979.754505977,677105269518.6633,4231907934.491646,677177218049.9214,4232357612.812009,0.010624771380419227,0.010624771380419227,Base (mismo n_eff)
200,Antitéticas,100,2422527.0,303233048051.51514,3032330480.5151515,869283799248.4849,8692837992.484848,65.1169102295859,65.1169102295859,Base (mismo n_eff)
200,Antitéticas + VC,80,2467305.6571636414,292084972004.83,3651062150.060375,865220279721.519,10815253496.518988,0.8396309963500992,66.24154809468395,"Ref: Anti(mismo n_eff), Base(mismo n_eff)"
